"","de","a","ciudad","tipo"
"293",2019-09-17 09:29:00,2019-09-17 09:34:00,"Europe/Madrid","Running"
"294",2019-09-17 12:12:00,2019-09-17 12:20:00,"Europe/Madrid","Walking"
"295",2019-09-17 14:53:00,2019-09-17 15:02:00,"Europe/Madrid","Walking"
"296",2019-09-18 09:00:00,2019-09-18 09:10:00,"Europe/Madrid","Walking"
"297",2019-09-18 11:55:00,2019-09-18 12:06:00,"Europe/Madrid","Walking"
"298",2019-09-18 13:46:00,2019-09-18 13:51:00,"Europe/Madrid","Walking"
"299",2019-09-18 17:29:00,2019-09-18 17:47:00,"Europe/Madrid","Walking"
"300",2019-09-20 07:00:00,2019-09-20 07:20:00,"Europe/Amsterdam","Pilates"
"301",2019-09-20 08:30:00,2019-09-20 08:45:00,"Europe/Amsterdam","Cycling"
"302",2019-09-20 09:52:00,2019-09-20 10:21:00,"Europe/Amsterdam","Walking"
"303",2019-09-20 13:56:00,2019-09-20 14:29:00,"Europe/Amsterdam","Walking"
"304",2019-09-20 15:00:00,2019-09-20 15:20:00,"Europe/Amsterdam","Cycling"
"305",2019-09-21 09:38:00,2019-09-21 09:56:00,"Europe/Madrid","Running"
"306",2019-09-21 09:57:00,2019-09-21 10:06:00,"Europe/Madrid","Walking"
"307",2019-09-21 14:56:00,2019-09-21 15:00:00,"Europe/Madrid","Walking"
"308",2019-09-23 13:37:00,2019-09-23 13:49:00,"Europe/Madrid","Walking"
"309",2019-09-25 08:55:00,2019-09-25 09:08:00,"Europe/Amsterdam","Walking"
"310",2019-09-25 18:58:00,2019-09-25 19:11:00,"Europe/Amsterdam","Walking"
"311",2019-09-28 08:15:00,2019-09-28 08:32:00,"Europe/Amsterdam","Running"
"312",2019-09-28 08:33:00,2019-09-28 08:42:00,"Europe/Amsterdam","Walking"
